Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
27.66796875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[57, 62, 49, 50]","[50, 64, 82, 64]",,64.0
27.6796875,0,"['note_off', 'note_on']",0,"[81, 79]","[61, 64]",,64.0
27.9140625,0,"['note_off', 'note_on']",3,"[79, 77]","[54, 64]",,64.0
28.13671875,0,"['note_off', 'note_on']",0,"[50, 57]","[69, 64]",,64.0
28.1484375,0,"['note_off', 'note_on']",1,"[77, 76]","[48, 64]",,64.0
28.37109375,0,"['note_off', 'note_on']",1,"[62, 64]","[68, 64]",,64.0
28.60546875,0,"['note_off', 'note_on']",0,"[64, 62]","[40, 64]",,64.0
28.6171875,0,"['note_off', 'note_on']",1,"[76, 81]","[42, 64]",,64.0
28.83984375,0,"['note_off', 'note_on']",1,"[62, 60]","[46, 64]",,64.0
29.07421875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[60, 59, 57, 52]","[68, 64, 65, 64]",,64.0
29.3203125,0,"['note_off', 'note_on']",1,"[81, 83]","[53, 64]",,64.0
29.54296875,0,"['note_off', 'note_on']",0,"[59, 64]","[69, 64]",,64.0
29.5546875,0,"['note_off', 'note_on']",0,"[83, 81]","[61, 64]",,64.0
29.7890625,0,"['note_off', 'note_on']",3,"[81, 79]","[57, 64]",,64.0
30.01171875,0,"['note_off', 'note_on']",0,"[52, 57]","[49, 64]",,64.0
30.0234375,0,"['note_off', 'note_on']",3,"[79, 77]","[55, 64]",,64.0
30.24609375,0,"['note_off', 'note_on']",1,"[57, 59]","[52, 64]",,64.0
30.46875,0.22265625,['note_on'],3,[67],[64],,64.0
30.48046875,0,"['note_off', 'note_on']",3,"[59, 60]","[52, 64]",,64.0
30.71484375,0,"['note_off', 'note_on']",1,"[60, 62]","[72, 64]",,64.0
30.9375,0,"['note_off', 'note_on']",1,"[67, 69]","[52, 64]",,64.0
30.94921875,0,"['note_off', 'note_on', 'note_off', 'note_on']",3,"[64, 62, 62, 60]","[49, 64, 49, 64]",,64.0
31.18359375,0,"['note_off', 'note_on']",1,"[60, 59]","[43, 64]",,64.0
