,msg_note,msg_velocity,tick,msg_channel,count,msg_type
459,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
460,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
461,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
462,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
463,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
464,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
465,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
466,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
467,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
468,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
469,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
470,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
471,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
472,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
473,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
474,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
475,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
476,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
477,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
478,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
479,"[68, 70]","[80, 64]",480,"[0, 0]",2,"['note_off', 'note_on']"
480,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
481,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
482,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
483,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
484,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
485,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
486,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
487,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
488,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
489,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
490,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
491,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
492,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
493,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
494,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
495,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
496,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
497,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
498,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
499,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
500,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
501,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
502,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
503,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
504,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
505,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
506,"[70, 68]","[74, 64]",540,"[0, 0]",2,"['note_off', 'note_on']"
