,sec,msg_type,channel,note,velocity,new_octave,dynamic,accent,count,main_vol,depth,pedal,pan
1008,100.8,"['note_off', 'note_off']","[0, 0]","[55, 55]","[0, 0]",[2],ppp,0,2,0,0,0,0
1009,100.9,"['note_on', 'note_on']","[0, 0]","[50, 50]","[59, 59]","[2, 3]",p,0,2,0,0,0,0
1010,101.0,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1011,101.1,"['note_on', 'note_on']","[0, 0]","[55, 55]","[35, 35]","[2, 3]",ppp,0,2,0,0,0,0
1012,101.2,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1013,101.3,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1014,101.4,"['note_on', 'note_on']","[0, 0]","[60, 60]","[42, 42]","[2, 3, 4]",pp,0,2,0,0,0,0
1015,101.5,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
1016,101.6,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[65, 65, 55, 55]","[53, 53, 0, 0]","[2, 3, 4]",ppp,0,4,0,0,0,0
1017,101.7,"['note_off', 'note_off']","[0, 0]","[60, 60]","[0, 0]","[2, 3, 4]",ppp,0,2,0,0,0,0
1018,101.8,"['note_on', 'note_on']","[0, 0]","[55, 55]","[40, 40]","[2, 3, 4]",pp,0,2,0,0,0,0
1019,101.9,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
1020,102.0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0, 0, 0]","[43, 43, 50, 50, 65, 65, 60, 60]","[0, 0, 0, 0, 0, 0, 38, 38]","[3, 4]",ppp,0,8,0,0,0,0
1021,102.1,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
1022,102.2,"['note_on', 'note_on']","[0, 0]","[65, 65]","[48, 48]","[3, 4]",pp,0,2,0,0,0,0
1023,102.3,"['note_off', 'note_off']","[0, 0]","[60, 60]","[0, 0]","[3, 4]",ppp,0,2,0,0,0,0
1024,102.4,['note_on'],[0],[43],[48],"[2, 3, 4]",pp,0,1,0,0,0,0
1025,102.5,"['note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0]","[43, 65, 65, 55, 55]","[48, 0, 0, 0, 0]",[2],ppp,0,5,0,0,0,0
1026,102.6,[],[],[],[],[2],,0,0,0,0,0,0
1027,102.7,"['note_on', 'note_on']","[0, 0]","[50, 50]","[46, 46]","[2, 3]",pp,0,2,0,0,0,0
1028,102.8,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1029,102.9,"['note_on', 'note_on']","[0, 0]","[55, 55]","[38, 38]","[2, 3]",pp,0,2,0,0,0,0
1030,103.0,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1031,103.1,"['note_on', 'note_on']","[0, 0]","[60, 60]","[42, 42]","[2, 3, 4]",pp,0,2,0,0,0,0
1032,103.2,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
1033,103.3,"['note_on', 'note_on']","[0, 0]","[65, 65]","[48, 48]","[2, 3, 4]",pp,0,2,0,0,0,0
1034,103.4,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[60, 60, 55, 55]","[0, 0, 0, 0]","[2, 3, 4]",ppp,0,4,0,0,0,0
1035,103.5,"['note_on', 'note_on']","[0, 0]","[55, 55]","[46, 46]","[2, 3, 4]",pp,0,2,0,0,0,0
1036,103.6,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
1037,103.7,"['note_off', 'note_off']","[0, 0]","[65, 65]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
1038,103.8,"['note_on', 'note_on']","[0, 0]","[60, 60]","[42, 42]","[2, 3, 4]",pp,0,2,0,0,0,0
1039,103.9,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[55, 55, 43, 43]","[0, 0, 0, 0]","[3, 4]",ppp,0,4,0,0,0,0
1040,104.0,"['note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[50, 50, 65, 65, 60, 60]","[0, 0, 44, 44, 0, 0]",[4],ppp,0,6,0,0,0,0
1041,104.1,[],[],[],[],[4],,0,0,0,0,0,0
1042,104.2,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[43, 43, 65, 65]","[36, 36, 0, 0]",[2],ppp,0,4,0,0,0,0
1043,104.3,[],[],[],[],[2],,0,0,0,0,0,0
1044,104.4,"['note_on', 'note_on']","[0, 0]","[50, 50]","[46, 46]","[2, 3]",pp,0,2,0,0,0,0
1045,104.5,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1046,104.6,"['note_on', 'note_on']","[0, 0]","[55, 55]","[53, 53]","[2, 3]",p,0,2,0,0,0,0
1047,104.7,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1048,104.8,"['note_on', 'note_on']","[0, 0]","[59, 59]","[46, 46]","[2, 3]",pp,0,2,0,0,0,0
1049,104.9,"['note_off', 'note_off']","[0, 0]","[55, 55]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
1050,105.0,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1051,105.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[65, 65, 64, 64]","[28, 28, 34, 34]","[2, 3, 4]",ppp,0,4,0,0,0,0
1052,105.2,"['note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0]","[59, 59, 64, 64]","[0, 0, 0, 0]","[2, 3, 4]",ppp,0,4,0,0,0,0
1053,105.3,"['note_off', 'note_off', 'note_on', 'note_on']","[0, 0, 0, 0]","[65, 65, 55, 55]","[0, 0, 34, 34]","[2, 3]",ppp,0,4,0,0,0,0
1054,105.4,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1055,105.5,"['note_on', 'note_on']","[0, 0]","[59, 59]","[46, 46]","[2, 3]",pp,0,2,0,0,0,0
1056,105.6,"['note_off', 'note_off']","[0, 0]","[55, 55]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
1057,105.7,['note_on'],[0],[65],[53],"[2, 3, 4]",p,0,1,0,0,0,0
1058,105.8,"['note_on', 'note_off', 'note_off', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0, 0]","[65, 43, 43, 59, 59, 50, 50]","[53, 0, 0, 0, 0, 0, 0]",[4],ppp,0,7,0,0,0,0
1059,105.9,[],[],[],[],[4],,0,0,0,0,0,0
1060,106.0,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[43, 43, 65, 65]","[44, 44, 0, 0]",[2],ppp,0,4,0,0,0,0
1061,106.1,[],[],[],[],[2],,0,0,0,0,0,0
1062,106.2,"['note_on', 'note_on']","[0, 0]","[50, 50]","[44, 44]","[2, 3]",pp,0,2,0,0,0,0
1063,106.3,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1064,106.4,"['note_on', 'note_on']","[0, 0]","[55, 55]","[42, 42]","[2, 3]",pp,0,2,0,0,0,0
1065,106.5,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1066,106.6,"['note_on', 'note_on']","[0, 0]","[59, 59]","[42, 42]","[2, 3]",pp,0,2,0,0,0,0
1067,106.7,"['note_off', 'note_off']","[0, 0]","[55, 55]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
1068,106.8,"['note_on', 'note_on']","[0, 0]","[65, 65]","[51, 51]","[2, 3, 4]",p,0,2,0,0,0,0
1069,106.9,"['note_off', 'note_off']","[0, 0]","[59, 59]","[0, 0]","[2, 3, 4]",ppp,0,2,0,0,0,0
1070,107.0,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
1071,107.1,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[55, 55, 65, 65]","[51, 51, 0, 0]","[2, 3]",ppp,0,4,0,0,0,0
1072,107.2,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
1073,107.3,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[59, 59, 43, 43]","[40, 40, 0, 0]",[3],ppp,0,4,0,0,0,0
1074,107.4,"['note_off', 'note_off']","[0, 0]","[50, 50]","[0, 0]",[3],ppp,0,2,0,0,0,0
1075,107.5,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[65, 65, 59, 59]","[46, 46, 0, 0]","[3, 4]",ppp,0,4,0,0,0,0
1076,107.6,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
