Sec,Ticks,msg_type,Channel,Notes,Velocities,Tempo,mean_velocity,diff_velocity
27.93927407291655,0,"['note_off', 'note_off', 'note_off', 'note_off']",0,"[84, 74, 71, 38]","[0, 0, 0, 0]",175.00007291669704,0.0,0.0
27.942845499999883,0,"['note_on', 'note_on', 'note_on']",1,"[83, 40, 35]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
28.02498832291655,0.08214282291666666,['note_off'],5,[40],[0],175.00007291669704,-116.66666666666667,0.0
28.110702572916548,0,"['note_off', 'note_off']",1,"[95, 35]","[0, 0]",175.00007291669704,0.0,0.0
28.11427399999988,0,"['note_on', 'note_on']",1,"[40, 91]","[96, 64]",175.00007291669704,80.0,80.0
28.196416822916547,0.08214282291666666,['note_off'],0,[40],[0],175.00007291669704,-80.0,0.0
28.282131072916545,0.08571424999999999,['note_off'],0,[83],[0],175.00007291669704,0.0,0.0
28.28570249999988,0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']",1,"[79, 36, 81, 74, 71, 35]","[127, 96, 64, 32, 32, 127]",175.00007291669704,79.66666666666667,79.66666666666667
28.453559572916546,0,"['note_off', 'note_off', 'note_off']",1,"[36, 81, 35]","[0, 0, 0]",175.00007291669704,-79.66666666666667,0.0
28.45713099999988,0,"['note_on', 'note_on', 'note_on']",0,"[38, 84, 38]","[96, 64, 127]",175.00007291669704,95.66666666666667,95.66666666666667
28.624988072916548,0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_off', 'note_off']",1,"[79, 38, 84, 74, 71, 38]","[0, 0, 0, 0, 0, 0]",175.00007291669704,-95.66666666666667,0.0
28.62855949999988,0,"['note_on', 'note_on']",1,"[40, 88]","[96, 64]",175.00007291669704,80.0,80.0
28.79641657291655,0,"['note_off', 'note_off', 'note_off']",1,"[40, 88, 91]","[0, 0, 0]",175.00007291669704,-80.0,0.0
28.799987999999882,0,"['note_on', 'note_on', 'note_on', 'note_on']",1,"[41, 64, 96, 35]","[96, 32, 64, 127]",175.00007291669704,79.75,79.75
28.882130822916547,0.08214282291666666,['note_off'],2,[41],[0],175.00007291669704,-79.75,0.0
28.967845072916546,0,"['note_off', 'note_off']",1,"[64, 35]","[0, 0]",175.00007291669704,0.0,0.0
28.97141649999988,0,"['note_on', 'note_on']",1,"[41, 60]","[96, 32]",175.00007291669704,64.0,64.0
29.053559322916545,0.08214282291666666,['note_off'],2,[41],[0],175.00007291669704,-64.0,0.0
29.139273572916544,0.08571424999999999,['note_off'],1,[60],[0],175.00007291669704,0.0,0.0
29.142844999999877,0,"['note_on', 'note_on', 'note_on', 'note_on']",1,"[41, 76, 72, 38]","[96, 32, 32, 127]",175.00007291669704,71.75,71.75
29.224987822916543,0.08214282291666666,['note_off'],6,[41],[0],175.00007291669704,-71.75,0.0
29.31070207291654,0,"['note_off', 'note_off', 'note_off']",1,"[76, 72, 38]","[0, 0, 0]",175.00007291669704,0.0,0.0
29.314273499999874,0,"['note_on', 'note_on']",1,"[41, 35]","[96, 127]",175.00007291669704,111.5,111.5
29.39641632291654,0.08214282291666666,['note_off'],9,[41],[0],175.00007291669704,-111.5,0.0
29.48213057291654,0.08571424999999999,['note_off'],0,[35],[0],175.00007291669704,0.0,0.0
29.485701999999872,0,"['note_on', 'note_on']",1,"[84, 41]","[127, 96]",175.00007291669704,111.5,111.5
29.567844822916538,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-111.5,0.0
29.653559072916536,0.08571424999999999,['note_off'],0,[84],[0],175.00007291669704,0.0,0.0
29.65713049999987,0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",1,"[81, 41, 76, 72, 35]","[127, 96, 32, 32, 127]",175.00007291669704,82.8,82.8
29.739273322916535,0.08214282291666666,['note_off'],9,[41],[0],175.00007291669704,-82.8,0.0
29.824987572916534,0.08571424999999999,['note_off'],1,[35],[0],175.00007291669704,0.0,0.0
29.828558999999867,0,"['note_on', 'note_on', 'note_on']",1,"[41, 64, 38]","[96, 32, 127]",175.00007291669704,85.0,85.0
29.910701822916533,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-85.0,0.0
29.99641607291653,0,"['note_off', 'note_off', 'note_off', 'note_off', 'note_off']",0,"[81, 64, 76, 72, 38]","[0, 0, 0, 0, 0]",175.00007291669704,0.0,0.0
29.999987499999865,0,"['note_on', 'note_on', 'note_on']",1,"[84, 41, 60]","[127, 96, 32]",175.00007291669704,85.0,85.0
30.08213032291653,0.08214282291666666,['note_off'],0,[41],[0],175.00007291669704,-85.0,0.0
30.16784457291653,0,"['note_off', 'note_off']",0,"[84, 60]","[0, 0]",175.00007291669704,0.0,0.0
