sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
0.261,251,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.262,252,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.263,253,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.264,254,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.265,255,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.266,256,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.267,257,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.268,258,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.269,259,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.27,260,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.271,261,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.272,262,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.273,263,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.275,264,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.276,265,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.277,266,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.278,267,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.279,268,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.28,269,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.281,270,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.282,271,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.283,272,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.284,273,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.285,274,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.286,275,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.287,276,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.288,277,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.289,278,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.29,279,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.291,280,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.292,281,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.293,282,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.294,283,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.295,284,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.296,285,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.297,286,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.298,287,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.3,288,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.301,289,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.302,290,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.303,291,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.304,292,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.305,293,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.306,294,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.307,295,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.308,296,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.309,297,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.31,298,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.311,299,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.312,300,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.313,301,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.314,302,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.315,303,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.316,304,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.317,305,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.318,306,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.319,307,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.32,308,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.321,309,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.322,310,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.323,311,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.325,312,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.326,313,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.327,314,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.328,315,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.329,316,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.33,317,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.331,318,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.332,319,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.333,320,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.334,321,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.335,322,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.336,323,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.337,324,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.338,325,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.339,326,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.34,327,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.341,328,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.342,329,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.343,330,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.344,331,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.345,332,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.346,333,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.347,334,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.348,335,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.35,336,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.351,337,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.352,338,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.353,339,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.354,340,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.355,341,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.356,342,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.357,343,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.358,344,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
